"id";"nome";"endereco_id"
221;"FORHUM LAR CEI
                    ";220
222;"FORHUM LAR I
                    ";221
223;"FRANCISCO MATARAZZO ESCOLA SENAI
                    ";222
224;"FRANCOISE DOLTO COLEGIO
                    ";223
225;"FRONTINO GUIMARAES
                    ";224
226;"GABRIEL PRESTES DOUTOR EMEI
                    ";225
227;"GALVAO FREI ESCOLA DE CURSOS TECNICOS
                    ";226
228;"GANI ESCOLA
                    ";227
229;"GARA SCHOOL
                    ";228
230;"GARCIA DAVILA COMANDANTE EMEF
                    ";186
231;"GATO XADREZ ESCOLA MATERNAL
                    ";77
232;"GENTE INOCENTE CRECHE PARTICULAR CONVENIADA
                    ";229
233;"GENTE INOCENTE ESCOLA DE EDUCACAO INFANTIL
                    ";230
234;"GIANFRANCESCO S B M GUARNIERI
                    ";231
235;"GILEADE ESCOLA DE EDUCACAO INFANTIL
                    ";232
236;"GIMBERNAU ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL
                    ";233
237;"GLOBAL COLEGIO
                    ";234
238;"GLOBAL COLEGIO UNIDADE II
                    ";235
239;"GONCALVES DIAS
                    ";236
